Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Andrew Robertson,sct SCO,DF,Liverpool,30-296,1994,17,16,1289,14.3,0,0,0,0,0,0,2,1,0.5,0.5,2.4,2.9,30,94,44,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.20,0.04,0.20
Antonee Robinson,us USA,"DF,FW",Fulham,27-146,1997,19,19,1710,19.0,0,7,7,0,0,0,4,0,0.5,0.5,2.9,3.4,62,71,144,0.00,0.37,0.37,0.00,0.37,0.03,0.15,0.18,0.03,0.18
Rodri,es ESP,MF,Manchester City,28-193,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Guido Rodríguez,ar ARG,MF,West Ham,30-264,1994,16,12,891,9.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,28,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Mads Roerslev,dk DEN,DF,Brentford,25-191,1999,14,6,655,7.3,0,1,1,0,0,0,1,0,0.0,0.0,1.9,1.9,10,40,39,0.00,0.14,0.14,0.00,0.14,0.00,0.25,0.26,0.00,0.26
Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-159,2002,19,19,1558,17.3,6,3,9,6,0,0,5,0,3.6,3.6,4.0,7.7,64,64,98,0.35,0.17,0.52,0.35,0.52,0.21,0.23,0.44,0.21,0.44
Cristian Romero,ar ARG,DF,Tottenham,26-249,1998,12,12,974,10.8,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.6,10,48,2,0.09,0.00,0.09,0.09,0.09,0.10,0.05,0.15,0.10,0.15
Georginio Rutter,fr FRA,"FW,MF",Brighton,22-256,2002,18,13,1037,11.5,2,2,4,2,0,0,2,0,2.8,2.8,1.4,4.2,29,44,53,0.17,0.17,0.35,0.17,0.35,0.25,0.12,0.37,0.25,0.37
José Sá,pt POR,GK,Wolves,31-350,1993,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-118,2001,16,16,1268,14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.30,0.41,0.71,0.24,0.65
